cod_ibge,nome,ano,pop_estimada
1700251,Abreulândia,2025,2682
1700301,Aguiarnópolis,2025,4502
1700350,Aliança do Tocantins,2025,5196
1700400,Almas,2025,6483
1700707,Alvorada,2025,9128
1701002,Ananás,2025,10700
1701051,Angico,2025,2903
1701101,Aparecida do Rio Negro,2025,5110
1701309,Aragominas,2025,5330
1701903,Araguacema,2025,6022
1702000,Araguaçu,2025,8242
1702109,Araguaína,2025,183024
1702158,Araguanã,2025,4300
1702208,Araguatins,2025,33286
1702307,Arapoema,2025,5488
1702406,Arraias,2025,10511
1702554,Augustinópolis,2025,18237
1702703,Aurora do Tocantins,2025,3418
1702901,Axixá do Tocantins,2025,10732
1703008,Babaçulândia,2025,7636
1703057,Bandeirantes do Tocantins,2025,3555
1703073,Barra do Ouro,2025,4667
1703107,Barrolândia,2025,4890
1703206,Bernardo Sayão,2025,4307
1703305,Bom Jesus do Tocantins,2025,4201
1703602,Brasilândia do Tocantins,2025,2013
1703701,Brejinho de Nazaré,2025,4774
1703800,Buriti do Tocantins,2025,10696
1703826,Cachoeirinha,2025,1982
1703842,Campos Lindos,2025,8990
1703867,Cariri do Tocantins,2025,4166
1703883,Carmolândia,2025,2242
1703891,Carrasco Bonito,2025,3344
1703909,Caseara,2025,5028
1704105,Centenário,2025,2111
1704600,Chapada de Areia,2025,1574
1705102,Chapada da Natividade,2025,3176
1705508,Colinas do Tocantins,2025,36209
1705557,Combinado,2025,4906
1705607,Conceição do Tocantins,2025,3942
1706001,Couto Magalhães,2025,5540
1706100,Cristalândia,2025,6392
1706258,Crixás do Tocantins,2025,1494
1706506,Darcinópolis,2025,6093
1707009,Dianópolis,2025,17966
1707108,Divinópolis do Tocantins,2025,7343
1707207,Dois Irmãos do Tocantins,2025,6352
1707306,Dueré,2025,4304
1707405,Esperantina,2025,7385
1707553,Fátima,2025,3503
1707652,Figueirópolis,2025,5334
1707702,Filadélfia,2025,7784
1708205,Formoso do Araguaia,2025,19473
1708254,Tabocão,2025,3741
1708304,Goianorte,2025,4832
1709005,Goiatins,2025,12851
1709302,Guaraí,2025,25831
1709500,Gurupi,2025,90209
1709807,Ipueiras,2025,1626
1710508,Itacajá,2025,6959
1710706,Itaguatins,2025,5160
1710904,Itapiratins,2025,3685
1711100,Itaporã do Tocantins,2025,2464
1711506,Jaú do Tocantins,2025,3396
1711803,Juarina,2025,2308
1711902,Lagoa da Confusão,2025,16629
1711951,Lagoa do Tocantins,2025,3613
1712009,Lajeado,2025,3559
1712157,Lavandeira,2025,1676
1712405,Lizarda,2025,2950
1712454,Luzinópolis,2025,2811
1712504,Marianópolis do Tocantins,2025,4793
1712702,Mateiros,2025,2922
1712801,Maurilândia do Tocantins,2025,3171
1713205,Miracema do Tocantins,2025,18679
1713304,Miranorte,2025,13073
1713601,Monte do Carmo,2025,5667
1713700,Monte Santo do Tocantins,2025,2521
1713809,Palmeiras do Tocantins,2025,4850
1713957,Muricilândia,2025,3501
1714203,Natividade,2025,8956
1714302,Nazaré,2025,4672
1714880,Nova Olinda,2025,10600
1715002,Nova Rosalândia,2025,3382
1715101,Novo Acordo,2025,4118
1715150,Novo Alegre,2025,1817
1715259,Novo Jardim,2025,2251
1715507,Oliveira de Fátima,2025,1220
1715705,Palmeirante,2025,4905
1715754,Palmeirópolis,2025,7104
1716109,Paraíso do Tocantins,2025,55704
1716208,Paranã,2025,10877
1716307,Pau D'Arco,2025,4057
1716505,Pedro Afonso,2025,14895
1716604,Peixe,2025,9384
1716653,Pequizeiro,2025,5035
1716703,Colméia,2025,9155
1717008,Pindorama do Tocantins,2025,4599
1717206,Piraquê,2025,2229
1717503,Pium,2025,7408
1717800,Ponte Alta do Bom Jesus,2025,4280
1717909,Ponte Alta do Tocantins,2025,7874
1718006,Porto Alegre do Tocantins,2025,2960
1718204,Porto Nacional,2025,69551
1718303,Praia Norte,2025,9552
1718402,Presidente Kennedy,2025,3016
1718451,Pugmil,2025,2223
1718501,Recursolândia,2025,3454
1718550,Riachinho,2025,4029
1718659,Rio da Conceição,2025,1827
1718709,Rio dos Bois,2025,2845
1718758,Rio Sono,2025,4718
1718808,Sampaio,2025,4397
1718840,Sandolândia,2025,3900
1718865,Santa Fé do Araguaia,2025,7533
1718881,Santa Maria do Tocantins,2025,2716
1718899,Santa Rita do Tocantins,2025,2299
1718907,Santa Rosa do Tocantins,2025,4799
1719004,Santa Tereza do Tocantins,2025,2907
1720002,Santa Terezinha do Tocantins,2025,2461
1720101,São Bento do Tocantins,2025,6004
1720150,São Félix do Tocantins,2025,1897
1720200,São Miguel do Tocantins,2025,14116
1720259,São Salvador do Tocantins,2025,2356
1720309,São Sebastião do Tocantins,2025,4182
1720499,São Valério,2025,4554
1720655,Silvanópolis,2025,5259
1720804,Sítio Novo do Tocantins,2025,11446
1720853,Sucupira,2025,1591
1720903,Taguatinga,2025,14199
1720937,Taipas do Tocantins,2025,2092
1720978,Talismã,2025,2505
1721000,Palmas,2025,328499
1721109,Tocantínia,2025,7802
1721208,Tocantinópolis,2025,23225
1721257,Tupirama,2025,2024
1721307,Tupiratins,2025,1886
1722081,Wanderlândia,2025,10734
1722107,Xambioá,2025,10636
